name,stars,title,review
Mayank Yadav,5.0 out of 5 stars,Best Product,Best product in the market in this price segment.
Reetam Deka,4.0 out of 5 stars,In the speaker a beep sound is coming out,Overall a good product
tana hidday,5.0 out of 5 stars,Loved it❤️,The package delivered was awesome n product was genuine all.😊
Ashwin Leonard,5.0 out of 5 stars,The best Notebook experience,It’s an amazing piece of technology.
Ashok,4.0 out of 5 stars,It's lit 👍,The media could not be loaded.
Shrutika,5.0 out of 5 stars,i'd never had a mac before but now i can't ever go back to windows,it's fast. it's sexy. it's powerful. it's like a panther wearing prada and talking physics.
Wellwoven (Murlimohan),5.0 out of 5 stars,best laptop for BUSINESS,"this laptop is best for business purposes, with excellent battery backup, a crystal clear display.overall it is a very very lovely experience with MACBOOK AIR M1.Thanks, APPLE"
Dhineshkumar,5.0 out of 5 stars,Awesome Product,"i was using macbook air early 2015 before. It was performing ok since i purchased until 2022. But i started facing unexpected shutdown due to poor battery condition. hence i upgraded to M1 Mac in exchange offer. I got around 18k exchange value which was surprising for me.After i started using this i fell in love with this due to following pros1. Excellent battery life (mora than 12 hours continues usage)2. Excellent performance compared to my previous macbook 2015 model (more than 200% bump in performance i felt)3. Excellent display qualityI did not feel any cons during my usage on past 6 months. Only concern is screen is ultra-fingerprint magnet. You need a cleaning cloth always with you which I am carrying with me all the time with IPA liquid for better cleaning performance. But i did not felt about it compared to the performance it was given. Also fingerprint wont be noticeable if the screen is onI thought of buying a screen card for mac (actually I purchased on amazon) to protect form fingerprint. Luckily it was damaged on transit. After that again I did some research and found lot of articles was saying using screen card will void display warranty of mac and screen card will eliminate the small gap given between the screen and keyboard while it closed which will lead to lid will not close properly or addition pressure will be put on screen while it closed which may damage the screen. Hence, I claimed refund instead of replacement product and purchased IP liquid to clean the screen.If you're a frequent traveler along with MacBook, you may notice keyboard marks on screen which may become permanent if it's not cleaned periodically. So, I purchased IP liquid and microfiber cloth to maintain it. It costs me around 200 for both (250ml vetro power IP liquid in amazon and microfiber cloth from DMART). I believe this will last me at least for a year or 2 which is sufficient for me to get another pair of this cleaning product instead of buying 1000+ rupees screen card. This liquid is useful in cleaning my other gadgets as well also during the Screen card installation on my own with cheaper option available online compared to products available in local market with 200+ rupees which is available online for 100+ rupees"
Saswati Roy,5.0 out of 5 stars,Perfect,"Loved every bit of it.. Looks, Functions, Smoothness of keys, finishing, everything is just perfect."
Hemadri Atthuru,5.0 out of 5 stars,It's nice 👍,Working to fastly
Sanjeev,5.0 out of 5 stars,Absolutely fine product,This is my first MacBook. And I love using it. Quality is absolutely perfect to meet all of the requirements such as coding and video editing.Although MacBook is very good but it has only one drawback that is it has 256gb of storage memory which is very less as compared to windows laptops.Performance wise it has no lag at all.❤️ MacBook Air M1❤️
gour,5.0 out of 5 stars,Value for your buck,"Most value for money laptop right now ... amazing performance, got a good deal, for around 66K...."
Labhansh Satpute,5.0 out of 5 stars,Value for Money Product,
Anubhav Nautiyal,5.0 out of 5 stars,Bittersweet experience,"This is my first Macbook. I needed a personal laptop with the following requirements -1. It should have long battery life. I should spend less time being anxious about battery and more time actually focusing on doing some work with it for long hours. This device makes you forget worrying about battery.2. It should wake up quickly/instantly from sleep, like how a tablet feels always ready to use. Imagine a situation when a question pops up in your mind that you've been encountering for long and thought of bookmarking it or letting it's tab sit on your open browser session, in such moments a mere 5-10 sec wake time will make you hesitant to reach your laptop, specially if ideas keep springing in your head multiple times a day. With Macbook, you open the lid and you're productive already!3. It should be fast while multitasking and switching tabs.I was initially skeptical with the 8 GB RAM thing, having experienced how quickly 16 GB fills up in windows with multiple browser windows and tabs open. Still decided to give it a shot, and man this thing doesn't disappoint.But it's not all perfect. There are multiple issues I faced -1. Using an external 2K 24-inch display delivers pathetic experience. The rendered text is unpleasant to read and the icons sent are not retina versions, they look bad. Having been spoilt by the excellent ClearType on Windows and noticing minute visual details by habit, I have a very bothersome time everytime I wake it up. Dear Apple, please provide subpixel rendering or a ClearType equivalent, it's much needed. Though at present, there are some software workarounds that could help to an extent by rendering retina visuals on non-retina displays, for eg. BetterDummy (supports M1).2. The mouse pointer is annoyingly jittery. My setup goes like this - Lenovo Q24h-10 connected via USB-C to MBA, one USB port of the monitor's USB hub connected to Lenovo 300 FHD webcam, the other USB port (with support for USB BC spec) connected to an ORICO 4-port USB 3 powered hub (the external power is not connected though), and the wireless dongle of Dell KM636 connected to the hub. The setup works like a charm with Windows on a Dell Latitude, even with Samsung Dex, but somehow with the Mac, the mouse cursor is very jumpy and the experience is annoying to the point that it's unusable. Things are better if the dongle is connected directly to the other USB C port of the Mac though, via an adapter. They are also somewhat better after enabling some option related to power on the monitor's OSD, and using MOS software on Mac, but the jumpiness is still present.Rating it 5 stars for what it's designed to do."
LEENUS,5.0 out of 5 stars,Nice,Nice
vivek rm,5.0 out of 5 stars,Worth of money !!,I used MacBook Pro 13 inch of intel but this M1 chip from Air is too fast and quick response with better battery life.
Amazon Customer,5.0 out of 5 stars,Pocket rocket this Laptop is,"I upgraded from a 2017 Acer Aspire Intel i3 Laptop (256GB SSD + 1TB + 8GB). And after the first day of usage, my mind is blown. Yes, I paid a hefty amount for the Air (Rs 76K with an exchange, Amazon took my old laptop for Rs 8800).Display: 13.3 inches may feel small initially for those shifting from 15.6 or bigger screen sizes. Honestly, I'm already used to it in a day. Unlike my Acer, the screen is brilliant. Great viewing angles, crisp and the brightness is adaptive. I don't have to keep adjusting brightness levels all the time, the sensor takes care of it. Speakers are excellent for this form factor, they even have a very mild base.Performance: It's off the charts. This M1 chip has 5nm transistor spacing making the laptop incredibly efficient. Plus it comes with 8 cores so multi-tasking is a breeze. I have about 10 chrome tabs, and 5 other windows open and it provided over 12 hours of battery life. Performance is flawless, it doesn't lag, no stutters, not even a hint of retard while navigating through apps.Keyboard and trackpad: Trackpad is large. You can adjust levels of trackpad sensitiveness to your touch. A nice feature to have. The clicks are very satisfying as well. The keyboard is backlit, and the key travel is perfect. Takes absolutely zero effort to get used to the keyboard and trackpad.OS: The laptop comes with Big Sur OS and right from the get-go you get the option to upgrade to Monterey which took about 20 minutes on my 50gbps internet speed.Lastly, Amazon delivery was good this time. I had ordered a Lenovo 2 months ago and Amazon took 10 days to tell me that the product was damaged in transit. However, this time, Amazon delivered my Macbook Air in 1.5 days.Update: The charger gets very hot and I can feel a very mild current (almost like a vibration) on the flap when the laptop is plugged in. This happened on my Acer also. Anybody else facing with this?"
Rose,5.0 out of 5 stars,My second purchase & I love it,"This is my second Macbook Air purchase. So far, I'm loving it."
abhishek,4.0 out of 5 stars,If you're a student go for it .,"It's a very laptop 💻 but here are some of my observations.Screen: The screen is realy amazing movies watching and whatever task you do like reading PDFs, browsing images etc. It's a pleasant experience to eyes .Battery: Although they claim for 15-16 hours of battery life but in real time usage this has been a lot less than the claimed.On the first initial days I was getting about 8-9 hours of battery life which I guess is still good in this price range .i thought there is any manufacturing defect in my air's battery hardware. But the screen brightness and the task you're performing plays important role in deciding battery life of the laptop.On less than 50% brightness and very light task I was able to get around 12 hours of battery backup and I'm happy with that .Performance : I'm an engineering student and do a lot of development work . So if you're into development you can blindly purchase it . The productivity it provides is justifiable to its price .Keyboard and Trackpad: This is probably the best trackpad in the laptops not comparing it with pro macbooks but better than almost all windows laptops. However the keyboard can be considered a very good keyboard but not the best . But it gives you a satisfactory feeling of typing.Verdict: It's been a month of using this laptop and I'm very satisfied . Will update this review after 2 months."
Santosh Kumar,5.0 out of 5 stars,Good,Giving 5 star for its performance
Mukund Ranganathan,5.0 out of 5 stars,one of the best experiences,"Using a Mac has changed the way I expect a laptop to work. One of the best investments for creative people! There hasn't been a single instance of OS hanging up, had very less restarts, the battery management is wonderful."
Soundar,5.0 out of 5 stars,Premium quality in both hardware and software,Value for money ! Very Good performing machine
Uday Kumar,4.0 out of 5 stars,Loving it!!!,"Value for money laptopIf u r looking for programming this is the oneIt has better power efficiency,better screen quality, smooth & fast UI & small in sizeM1 is still better option... M2 is good but i think there is no huge improvement between m2 & m1 soo if u hava 80k go for m1 mac instead of m2 if u have high budget go for pro model's dont go for basic ones"
er.kunal,5.0 out of 5 stars,Awesome laptop miles ahead of windows counterpart,"Smooth like butterrrr , camera quality is not good but updated to Ventura and use continuity camera that solves all , music quality is awesome , Retina display is delight to watch and enjoy web content . Thanks Amazon for smooth delivery"
Vagmi Saras Pvt Ltd,5.0 out of 5 stars,ONE OF THE BEST IN ALL THE ASPECT.,"MacBook Air is one of favourite from 2017 classy to handle, classic battery life very easy and convenient to use, 100% recommended."
Ben,5.0 out of 5 stars,Longterm review Fanless Wonder,"I had fears about getting a laptop with passive cooling, even though I don't do video editing or compile big programs on the Air, even for web development and writing small scripts a fanless laptop seemed like a bad idea but after using this I can this thing is totally fine and wonderfulDocker works fine some issues do come up but for simple development of C++, Python apps along with Postgres SQL docker with some configurations the M1 chip has so far caused no issues.I run vscode, pycharm the project is not too huge but with safari or chrome running with 6-8 tabs this wonder does not heat up or cause any instability.The display is the best I have used so far, the speakers are far better than equivalent windows laptopsSome Cons:1) No simple keyboard shortcut to control keyboard backlighting,2) As a long-term windows user, the shortcuts like arrow key + Win key to resize apps/stack apps is something I truly miss, Mac does have its own multitasking/split screen way but I prefer windows installing a third party for this seems unnecessary3) Battery life on 12.4 is a bit less than when I got the MacBook Air4) Switching to Mac shortcuts takes a bit of time5) Need to buy a type C Dongle, as I work of ethernet port mostly"
Moin Mukarram,5.0 out of 5 stars,Awesome piece,"Received the product today by exchanging my old laptop(dell), been using it from sometime and i can already say its very awesome product that i had the luxury to own."
Koushik Kumar Das,4.0 out of 5 stars,Excellent purchase,Go for it.
ashish,5.0 out of 5 stars,M1 8gb vs 16gb confusion?,"Should i buy the 16gb ram from apple store? This was the question i had for a long time. After going through tons of videos that compares 8gb air vs 16gb there was a clear evidence that with my use i can still be happy with the m1 8gb ram variant.This is not a long term review but i shall update the review after few months of usage.Why i opted for 8gb ram?My use is browsing some secure pages, maybe watch some videos too. Use imovies to edit small videos (not heavy 4k long videos as such) but i have seen that this can support even editing 4k videos. But then definitely if you are someone who use it majorly for editing 4k videos then you should probably get the 16gb variant. Then i do a little bit of coding too.I do have a office laptop that is a 16gb ram intel one. I did try opening some youtube 4k vids in chrome and compared it side by side and initial impression is pretty good on how the m1 takes on the load. But I should wait for more to get the actual picture.So, if you are light user with basic use and not into gaming or anything. This laptop is gonna be more than enough for your use. As its very much portable and light weight. The battery is also heavily optimised. ( i tried all these and i am yet to do my initial charging 😊).I shall update my review after 3-6 months for a better comparison.***update after 10 months *****No regrets! This is super fast engine. I do a lot of coding now with this. I feel every software works like a charm in M1 now. Of course we have the updated processor now. This is a start of a super powerful engine"
Karthikeya,5.0 out of 5 stars,Amazing Macbook,Best in Industry without a doubt
Ojas,5.0 out of 5 stars,Beast 🔥,"Best in class go for it ,works like charm."
ChandruGuru ,5.0 out of 5 stars,Awesome but no gaming,Worth of money.for gaming don't prefer this macbook
Shweta soni,4.0 out of 5 stars,"Best value for money, bad charging speed","Everything is awesome except camera and charging speed, for these two factors, one can go for m2 air, those 20k worth it, for future scope. I don't think read write speed would have that deep impact."
Shubham A.,5.0 out of 5 stars,Best laptop for everyday use.,"1)Screen: great.2)Keyboard & Trackpad: good and great.3)battery life: for web and coding=10+ hrs. for video editing=4-5hrs.4)charging=1.5hrs5)webcam=bad.6)Silent= so cool to operate that it does not heatup and due to this, it does not have any fan inside.7) Maintenance: due to not having a fan, it does not pull any dust from the surrounding= great.8) Build quality= solid.9) Speakers = best front-facing surround sound speakers after M1 MacBook Pro(2021)."
That guy Summit,5.0 out of 5 stars,It’s a damn powerful machine,Go for it
Khushroo,5.0 out of 5 stars,Very Good MacBook Air,Excellent MacBook Air with an excellent configuration for the office or home. If anybody is looking for a chance to buy a new MacBook then surely I would recommend this one as it works very smoothly.
Harsh Raj,4.0 out of 5 stars,Reached expectations,Hinge issues... Sometimes don't open by single handed... Rest everything is heaven
Vaibhav,5.0 out of 5 stars,Simply mind blowing,"M1 chip is simply amazing.I use Final cut Pro (for Video editing) and it glides through 4k footage(that too with multiple layers of 4k footage).Super satisfied ... and that too at Rs.78,990(in sale with card discounts)Huge value-for-money product."
AshishT,5.0 out of 5 stars,Very reliable and worth of each penny spent,"Hi, I have been an apple user- still have an old 2011 model. Then i switched back to dell for around 4 years. It's all good and smooth with Dell. And very recently I thought let me buy myself an Air. I like that its super sleek and somehow grey color is one of my favourites. So no surprizes the laptop comes in a nice packaging, (thanks to amazon for there on time and easy delivery). The only con of apple air is that its pricey but yes (if you are like me-you will realise its soon that in a long run, how this becomes such an important part of your life, its much more cheaper in value)Super Pro's1. M1 processors are highly efficient in processing. Also thanks to SSD2. Battery life is crazy- last for 15-16 hours easily3. Look and Design (there's not much to say- its very obvious)- Super classy, sleek and very light weight.Con's1. No consIt's the best version of any Macbooks till date.To be honest, I do multiple things- I design, I edit videos, I code, and I browse. Everything is good. I wish I could have ordered a bigger storage one though which was a bit expensive for me. So I treated myself with a very handy Seagate SSD 500 GB and I use it on the fly. Something extra to carry but I still LOVE it.Also, to let you know that- this is one of my first review that's written so throughly. So understand the excitement and satisfaction level of this product.WISH YOU LUCK! Now go and Buy. :)"
Sneha,5.0 out of 5 stars,"Classy, Stylish and Slim","Loved everything about this one. This one was a love at first sight but took me years to buy. I am really happy with the delivery and genuineness and it was worth it for INR 82,990. Thank you Amazon."
Krishna,4.0 out of 5 stars,"APPLE M1 2020 IS A GOOD LAPTOP AS A HARDWARE PIECE, BUT SOFTWARE PLATFORM SUCKS.","Apple Macbook M1 2020 edition is an excellent piece of hardware bundle but the software platform is not suitable for many of the applications which work only on Windows PC. If and if only Apple sells its Macbooks for Windows operating system, it would be really a 10 STAR device.Pros:* Excellent SOC (System on chip) which is beyond any comparison. Intel and AMD have been left milesbeyond. Their processors are antiquated & far short in performance.* The processor does not generate any heat - which indicates the cool operation and also low powerconsumption. There is no cooling fan in the laptop. The entire unit is sealed as there is no heat venting.* Battery lasts very loooong, even for HQ 16 K video playback.* Display is very realistic with true colours.* Sound quality is great. Channel separation is so good, you feel theatre like effect with soundscoming from all directions, far and near.Cons:* Very poor or no scope for expanding the RAM and storage size.* Software is expensive.* Additional compatible peripherals are mighty expensive.* Such pricey laptops come with only 1 year warranty.* Other than 2 C type ports and a earphone jack nothing else is present. One C port is engaged forpower supply. Thus one has inflexibility of having to do with only one H.Speed ""C"" type USB port.* Windows users switching to Apple are cautioned. Compatibility, storage space, expandability areseverely constrained.Finally, like the PC's which can take MS Windows OS and also other OS platforms, Apple range of MacBooks should also be compatible universally for all platforms, with hardware expandability options like PCs.with any Operating systems."
Kumar Gourab Pattanaik,5.0 out of 5 stars,Its like ... You own a Beast... Superb Machine,It is so faster than windows laptop. And download and upload are just a click away. I was using Windows now became a macbook user and i am fully satisfied with Macbook Air M1.It's a total different machine for Windows Users but it is faster and secure than Windows.. Just Go For It.....
Bhanu,5.0 out of 5 stars,Unreal,"This is the device that got me into Apple ecosystem, and this is a piece of peak engineering and worth every rupee I spent.No fans means the inside is completely isolated from the outside so no dust inside.Speakers and display are top notch. You can go for Mi Notebook with similar screen resolution but this one does not cause eye strain.Trackpad is one of the best I used.Battery life is unreal.Not for gaming though. If you are using it for just media consumption and some general programming then you will not feel it getting hot ever.Considering the price difference between M1 and M2 models, this is a better choice if you do not want to spend nearly 50% more on M2 Air."
Anirban M.,5.0 out of 5 stars,Best for casual personal use,"Probably the best productivity gadget in this price segment (so called pro phones cost more than this). Has great display, one of the best speaker, super portability and bunch of useful, yet free Apple softwares. For personal use this is just appropriate. Though it has 8 GBs of RAM; I tried GarageBand with my MiDi keyboard, multiple HD video editing in iMovie and it worked almost perfectly. And the best part is wake up feature. No matter how many days after I open the lid, the screen wakes up for action just instantly. Truely this feature is amazing.P.S. Amazon did not accept my old laptop for exchange, despite it being in working condition; saying the battery backup needs to be at least 1 hour. My old laptop was an HCL one, that they agreed on. And HCL stopped production 4 years ago. How can you ask for 1 hour of backup from such a laptop ... 🤣"
Artistic Brain,4.0 out of 5 stars,Apple is at it again!,"I have been using the Macbook 13,3 inches for almost a year now. It works extremely fast and is very smooth, the keys are great to type on. Though it has a good software and mostly good hardware, the camera quality is horrible. Its very blocky and the pixels are extremely visible. For the price, you can maybe get a better windows laptop but I have been a hardcore apple fan.Overall, I give it a 4.5 out of 5, it runs extremely smoothly even with multiple windows,tabs,apps etc open. My favourite part is the constant updates that apple provides that always upgrade the features and exemplify the user experience! I hope this helps =D."
Prasad jadhav,5.0 out of 5 stars,Worth it product 😃,Great choice for students and professionals buy it don't think to buy any other OS
Raja.n,5.0 out of 5 stars,Excellent product from Apple,"Thanks to Amazon for quick and safe delivery 🙏This is my first MacBook from apple, the screen quality is good as I expectedThe sound quality is amazing, with a real Dolby and surround sound from the speakers. 👌The trackpad is quite interesting, I have never seen a such trackpad on any other laptop, 👍Overall it is good to buy, go for it without hesitation.👍"
Dheeraj Gupta,3.0 out of 5 stars,Apple is getting low day by day,Quality is getting low day by day. Pretty worthless can say
utkarsh,5.0 out of 5 stars,Great product for programmers and content creators,Best laptop in market
"Kamal Gupta,  New Delhi",5.0 out of 5 stars,Wonderful laptop,"I got a golden one. It is rose gold and not truly gold in colour but its looks are mesmerising. The performance is cool. The only drawback is that there are only two type c ports. If one is used for charging and the other is used to connect the mouse then virtually you are left with no other port for a pen drive or printer. There is space where they could have given more ports.What I liked the most was the reduced bezels and scissors on the keyboard due to which the size of the laptop got reduced without compromising the 13.3-inch screen size. The screen is good, speed is fast, and beauty has increased, however, some may miss the glowing apple logo which has been replaced with a metal Apple logo. Speaker is crisp loud and clear.I like it"
Arpit Bairathi,5.0 out of 5 stars,Apple products are unbeatable,Best laptop till date and unbeatable desgin and specs in today moder world as well . Anywhere you can see its the best and no.1 choice laptop still and yes it desrves it as the name says macbook is macbook .. apple products does true to their desgin n specs. Loved the ui and user experience of apple product especially macbook is totally different from any other product
Shivam raj,5.0 out of 5 stars,About,Chiz to jhkas hai lekin bahut khrcha h
Yash raj,5.0 out of 5 stars,Thin laptop,"This macbook light weight, battery capacity is quite good ,upto 13 hrs. Software are running smoothly. Web cam is quality is good. Screen quality is good."
Saugat,5.0 out of 5 stars,It's a MacBook!!,It's a MacBook
General User,5.0 out of 5 stars,Great product. Good performance and amazing battery life,Macbook always delivers as expected. Great product.
Dharmshil,5.0 out of 5 stars,Awesome 😎,Camera quality not good
Placeholder,4.0 out of 5 stars,MacBook: Loved It!!!,"Loved every bit of this gorgeous laptop. The screen, sound quality, touch, and keypad are amazing."
Darshane Shivam Vaibhav,5.0 out of 5 stars,Perfect case for Macbook Air and Pro 13.3 inch,"Bought 2 of these for Air and Pro Macs and fits perfectly for both, image attached."
Aashik cg,5.0 out of 5 stars,Great,
NIRAJ KUMAR,5.0 out of 5 stars,Superb laptop so smooth and such beautiful battery performance,Gud superpower delivery by Amazon on time
aditya,4.0 out of 5 stars,Nice,The media could not be loaded.  Liked the product
Dheeraj Kumar Singh,5.0 out of 5 stars,Pricewise best laptop money can buy,Mac user since last 7 yrs and this is too relevant even in 2022
Sparsh,5.0 out of 5 stars,Exceptional Laptop for the price,"M1 is phenomenal in terms of performance and efficiency. It just works without any hiccups. Battery life is excellent. Easily a two day laptop with light to moderate use. If you are in the Apple ecosystem, go for it with eyes closed.Moreover, almost all apps have a universal binary now which targets ARM architecture specifically (instead of x86), which basically means more performance in all of these apps. So if you used this laptop more than a year ago and found bugs with the software, be rest assured that the bugs are no more and macOS is very stable now on this machine."
Athul,3.0 out of 5 stars,Never Buy Apple Products from Amazon!,"I faced a small issue related to the new macbook air I bought from Amazon. I was considering whether to request for replacement or not and I called Amazon customer care. What surprised me, was the response from Amazon customer care. They said if there is any issue with Apple products bought from Amazon, you need to first present it to the Apple store within the replacement period, i.e. 7 days. Apple store should give a certificate telling that there is an issue with the product. Amazon will consider replacement only in this case.I asked them why is this not mentioned on the page promising 7 day replacement, to which they said that not all clauses can be mentioned in the Amazon website!! So, even if the screen is broken or for any other serious issues with laptop, you need to take an appointment and go to Apple store and get their approval for replacement.So, the 7 day replacement guarantee does not mean much for Apple products bought from Amazon. Better avoid buying apple products from Amazon."
Ashish Malik,5.0 out of 5 stars,Fabulous,Nice product by Apple
Deepak Rajan,5.0 out of 5 stars,MacBook Air M1 - Outstanding Machine,"Having used Dell/HP laptops only this was the first Mac experience. Below are the observations:1. Buying from Amazon - Got 5900 off on MRP plus another 6000 through credit card plus same day delivery. Checked the serial number online and its a genuine product. Thanks Amazon.2. User experience - Switches on instantly, very light weight, screen is quad HD and you just cannot take your eyes of this machine. Compared to Windows the Mac experience is very smooth.3. Must say the previous HP laptops I bought had issues with numeric keys not working or taking ages to load and frequent windows patches requiring restarts. With Mac there is no compromise on quality.4. This has 2 ports only. The screen quality and trackpad are so good I ditched my plan to connect to external monitor Dell P2419H and logitech keyboard. Only use a M590 Logitech bluetooth mouse out of habit though one can do without it as well. In fact with this you dont need anything else on your table and can keep it clean.All I can say is having used this Mac its well worth the price and way better than all the Windows laptops in the market. Beware once you use this you would probably not want to touch a windows laptop again."
Brensten Vaz,5.0 out of 5 stars,"A little overpriced in India, but worth the money as an apple product!","Skipping the technical part since I'm sure most know about the M1 chip already. As a first time Mac user, I would say, switching to Mac from Windows was a very good experience for me. I didn't face any major issues. All I can say is that for professional and non-gaming use, this device is a monster. 11 hours of battery life easily, with video calls and multiple tabs and apps, along with windows on parallels ON, the whole working day! I never felt that I lacked anything. Even when there were power cuts, you can easily tether your phone or even better if you have an Iphone, and still keep going as if the power is still ON.From performance to battery life, design, everything is amazing. But do know that you'll need to keep an extra 10 thousand rupees spare to get accessories which are essential, such as cover, hubs etc. But overall a great buy as a minimum 5 year investment, and you can still expect some resale value. I was bit disappointed with the Amazon delivery executive though, he simple left the item with the watchman without taking the OTP and he then calls up for it. But apart from this, a great purchase!"
